心拍数,左目のx座標,左目のy座標,"左目の座標（X座標,Y座標）",右目のx座標,右目のy座標,"右目の座標（X座標,Y座標）",日時分秒

0,287,225,"(287, 225)",359,219,"(359, 219)",2025-06-29 13:10:08.996901

0,291,193,"(291, 193)",361,184,"(361, 184)",2025-06-29 13:10:21.149948

0,320,224,"(320, 224)",390,222,"(390, 222)",2025-06-29 13:10:35.391542

0,272,216,"(272, 216)",354,213,"(354, 213)",2025-06-29 13:10:45.171670

81.08,269,225,"(269, 225)",343,225,"(343, 225)",2025-06-29 13:10:54.112618

81.19,270,236,"(270, 236)",346,235,"(346, 235)",2025-06-29 13:11:02.771781

81.19,291,207,"(291, 207)",374,204,"(374, 204)",2025-06-29 13:11:11.421872

81.3,285,224,"(285, 224)",363,225,"(363, 225)",2025-06-29 13:11:20.843320

81.3,None,None,"(None, None)",None,None,"(None, None)",2025-06-29 13:11:31.737683

81.41,None,None,"(None, None)",None,None,"(None, None)",2025-06-29 13:11:44.443998

81.3,285,230,"(285, 230)",364,225,"(364, 225)",2025-06-29 13:11:56.812816

81.3,273,220,"(273, 220)",347,217,"(347, 217)",2025-06-29 13:12:09.219480

